thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
mean,0.0,10.783,4379.8,0.0,66884.0,73.8,0.0,60.0,2023-08-11 14:37:56,2023-08-11 14:48:44
mean,1.0,331.133,4404.6,0.0,2960820.0,97.6,0.0,60.0,2023-08-11 15:08:11,2023-08-11 20:39:19
mean,2.0,181.683,4443.2,0.0,1529432.0,99.6,0.0,60.0,2023-08-11 20:46:43,2023-08-11 23:48:25
mean,3.0,65.533,4452.3,0.0,821239.0,100.0,0.0,60.0,2023-08-11 23:57:43,2023-08-12 01:03:15
