number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
23,0.432092555331992,2023-04-09 19:13:42.913020,2023-04-09 19:13:49.142673,0 days 00:00:06.229653,71,208,49,0.1787730464012209,0.00018151412306040748,2,3,2,394,250.0,,Adam,PRUNED
37,0.425531914893617,2023-04-09 19:33:30.792536,2023-04-09 19:33:38.322628,0 days 00:00:07.530092,42,218,61,0.3688521709049116,0.008003735982621673,2,1,1,832,,,Adam,PRUNED
33,0.4153846153846154,2023-04-09 19:27:35.494421,2023-04-09 19:27:41.149998,0 days 00:00:05.655577,75,174,48,0.19039032587099763,6.707067994522447e-05,2,2,1,542,,,Adam,PRUNED
22,0.40372670807453415,2023-04-09 19:13:36.235089,2023-04-09 19:13:42.907669,0 days 00:00:06.672580,92,246,64,0.10249887853202395,0.001980934520092463,3,3,2,534,536.0,,Adam,PRUNED
18,0.400613183444047,2023-04-09 19:09:50.074554,2023-04-09 19:09:55.157515,0 days 00:00:05.082961,103,256,50,0.3299827678816303,0.0003459138396375434,1,3,1,199,,,Adam,PRUNED
27,0.359026369168357,2023-04-09 19:19:42.846537,2023-04-09 19:19:48.642919,0 days 00:00:05.796382,68,126,57,0.23651358286734236,0.007992681074835901,3,3,2,339,257.0,,Adam,PRUNED
16,0.3230452674897119,2023-04-09 19:07:56.666635,2023-04-09 19:08:03.395387,0 days 00:00:06.728752,72,254,56,0.10576784595087868,0.06631802966374349,3,3,3,616,434.0,114.0,Adam,PRUNED
20,0.3151041666666667,2023-04-09 19:11:39.314337,2023-04-09 19:11:43.985098,0 days 00:00:04.670761,120,233,54,0.25698144611190704,0.00010058308352211407,1,3,3,591,523.0,145.0,Adam,PRUNED
38,0.23484848484848486,2023-04-09 19:33:38.324699,2023-04-09 19:33:45.866385,0 days 00:00:07.541686,55,148,48,0.40765057087000395,0.003053082024723997,2,2,1,784,,,SGD,PRUNED
40,0.17827868852459017,2023-04-09 19:35:47.817719,2023-04-09 19:35:52.846603,0 days 00:00:05.028884,61,184,57,0.12341511727845489,6.0416446930953454e-05,2,1,1,981,,,SGD,PRUNED
9,0.16514227642276422,2023-04-09 18:55:12.736954,2023-04-09 18:55:18.147659,0 days 00:00:05.410705,82,95,33,0.28685402999361137,0.00723455599698484,4,3,2,651,692.0,,SGD,PRUNED
29,0.13786008230452676,2023-04-09 19:21:37.236504,2023-04-09 19:21:43.314642,0 days 00:00:06.078138,81,192,54,0.2613259601235783,0.0001599911600247162,2,2,1,706,,,SGD,PRUNED
5,0.120698510529019,2023-04-09 18:52:37.370845,2023-04-09 18:52:45.890355,0 days 00:00:08.519510,59,89,61,0.4640502221272794,0.014749687515511806,4,2,2,493,784.0,,SGD,PRUNED
7,0.11938775510204082,2023-04-09 18:55:02.250724,2023-04-09 18:55:07.996136,0 days 00:00:05.745412,49,106,64,0.1064781839043719,3.583240351026581e-05,3,1,3,735,747.0,635.0,SGD,PRUNED
0,0.10927318295739348,2023-04-09 18:41:39.338339,2023-04-09 18:43:24.545919,0 days 00:01:45.207580,105,228,60,0.4552790963291137,0.00012318988828848143,4,1,1,755,,,SGD,COMPLETE
8,0.09959141981613892,2023-04-09 18:55:07.997953,2023-04-09 18:55:12.734948,0 days 00:00:04.736995,89,128,56,0.14275245690451485,1.881283044759204e-05,4,1,1,848,,,SGD,PRUNED
