lhl,optim,scheduler,epochs,best_epoch,train_losses,test_losses,train_accs,test_accs,test_loss,test_acc
30,AdamW,MultiStepLR,16,5,"[1.090770547861991, 0.5553423764855937, 0.46204358831294, 0.42399965913937415, 0.3984550856214097, 0.2232591987859128, 0.1715114234312819, 0.1450312584700909, 0.12888944231131194, 0.11339840803032376, 0.1025368261817594, 0.09460681882853936, 0.08982730566289508, 0.08537355271720895, 0.07925917209839922, 0.07838285514443559]","[0.35838051727539255, 0.2738835567338321, 0.2717867149253383, 0.24633293291767136, 0.19165879434671337, 0.13290848974174044, 0.16391693977399138, 0.18707704189356117, 0.21285241711413744, 0.21824299166368263, 0.25864072370819235, 0.27456394502917975, 0.3029900057359513, 0.30485523071136494, 0.27377087480827583, 0.2714816008148829]","[0.6905797123908997, 0.8324318528175354, 0.8562875390052795, 0.868965744972229, 0.8766102194786072, 0.9285268187522888, 0.9441439509391785, 0.9520854353904724, 0.9574318528175354, 0.9622467756271362, 0.9661080837249756, 0.967890202999115, 0.9701100587844849, 0.972204864025116, 0.9739245176315308, 0.9738150835037231]","[0.8947996497154236, 0.9212786555290222, 0.9222328066825867, 0.9258110523223877, 0.933921754360199, 0.9544370174407959, 0.9484732747077942, 0.9427480697631836, 0.9434637427330017, 0.944656491279602, 0.9398854970932007, 0.9343988299369812, 0.9320133328437805, 0.9327290058135986, 0.9391698241233826, 0.9355915784835815]",0.1329084897417404,0.954437017440796
50,AdamW,MultiStepLR,19,8,"[1.032119691014111, 0.5271015473757463, 0.4516181959870787, 0.4168318946412082, 0.40240217125851135, 0.21727536809528195, 0.16315585449049105, 0.13630156730417686, 0.12061300168305182, 0.10557486526019896, 0.09671464665163226, 0.08947419046935415, 0.08160864532995189, 0.07864212773157575, 0.0747260888874507, 0.07354654012149617, 0.07040275375299591, 0.06818682569664206, 0.06736866008473902]","[0.339003027679811, 0.28493828562493545, 0.24388682933254097, 0.339935434285466, 0.1642816061090024, 0.12822708799788116, 0.12303496006954433, 0.1417378711439527, 0.1368356583864812, 0.15999862850414417, 0.187597132415221, 0.16567527914927643, 0.1844090460864063, 0.18185753018492193, 0.177503059876777, 0.1938785512017207, 0.17966609255675997, 0.1879329196300059, 0.16485780073958092]","[0.7064626216888428, 0.8388413190841675, 0.8597267866134644, 0.8698568344116211, 0.8735617995262146, 0.929918110370636, 0.9462387561798096, 0.954617977142334, 0.9595735669136047, 0.965686023235321, 0.9674056172370911, 0.969656765460968, 0.9730334281921387, 0.9732522964477539, 0.9749562740325928, 0.9747999310493469, 0.9769885540008545, 0.9779108762741089, 0.9775981903076172]","[0.9031488299369812, 0.9169847369194031, 0.9341602921485901, 0.9284351468086243, 0.951574444770813, 0.9618320465087891, 0.9644560813903809, 0.9544370174407959, 0.9649332165718079, 0.9558683037757874, 0.9494274854660034, 0.9527671933174133, 0.9470419883728027, 0.9465649127960205, 0.9527671933174133, 0.9468034505844116, 0.9417939186096191, 0.9465649127960205, 0.9508587718009949]",0.1368356583864812,0.964933216571808
80,AdamW,MultiStepLR,18,7,"[1.001645063492225, 0.5372965036835028, 0.4557071648754288, 0.421071814886551, 0.397319683955126, 0.21617728817822218, 0.1563814637856162, 0.12897307086345078, 0.11386371581677046, 0.0986240472554417, 0.08804528347095181, 0.08089106401265285, 0.07456427472948132, 0.07185397891962753, 0.07058323089957233, 0.06763075258167137, 0.06750955180115457, 0.06394473864188688]","[0.3669426899602395, 0.26232243846845993, 0.271302311702539, 0.214632359496851, 0.31285701649448344, 0.1380957003908573, 0.1286905923061151, 0.15052093194356855, 0.163799932084352, 0.14048542547882142, 0.16158784902121387, 0.18100468818638615, 0.15683008571695678, 0.20277361964001783, 0.22588228696347606, 0.24041955771399234, 0.21740685227679848, 0.22006309539468902]","[0.714451014995575, 0.8356209397315979, 0.8583510518074036, 0.8688094615936279, 0.8762350082397461, 0.9312000274658203, 0.9493497014045715, 0.9571348428726196, 0.9629502296447754, 0.9676713943481445, 0.9706259965896606, 0.9732679128646851, 0.9757379293441772, 0.9762381315231323, 0.9765664339065552, 0.9771761298179626, 0.9775356650352478, 0.9789113402366638]","[0.8981392979621887, 0.9246183037757874, 0.9157919883728027, 0.923902690410614, 0.9138835668563843, 0.9565839767456055, 0.9568225145339966, 0.958253800868988, 0.9556297659873962, 0.9580152630805969, 0.9553912281990051, 0.9489504098892212, 0.9553912281990051, 0.9520515203475952, 0.9482347369194031, 0.9432252049446106, 0.9522900581359863, 0.9541984796524048]",0.1505209319435685,0.958253800868988
150,AdamW,MultiStepLR,17,6,"[0.9685861806740697, 0.5306843919302148, 0.4627938767771175, 0.42500140921787183, 0.4088940465894564, 0.21678667465851956, 0.15874547612822598, 0.12867972922309667, 0.11230120943298283, 0.09888716338979468, 0.08886684916189976, 0.08246147295085439, 0.07740061757529342, 0.07179170222480662, 0.06838145190632677, 0.06884475832961054, 0.06866270695439149]","[0.31592916930449827, 0.3715250091129587, 0.5668980056661685, 0.33688792225172504, 0.2292399498285683, 0.13973865810184533, 0.12761183527435127, 0.16573909252396793, 0.1532035779513646, 0.23882391824180843, 0.21849408146315646, 0.25301589204695163, 0.2009390611992438, 0.23689875014362685, 0.2433585455362998, 0.3376188890569495, 0.289763527356696]","[0.7241120934486389, 0.837715744972229, 0.8561468720436096, 0.8676213622093201, 0.8717952966690063, 0.9308561086654663, 0.9481616020202637, 0.957541286945343, 0.9627939462661743, 0.967374324798584, 0.9707510471343994, 0.9726582169532776, 0.9739401340484619, 0.9769259691238403, 0.9772542715072632, 0.9774575233459473, 0.976894736289978]","[0.8979007601737976, 0.895753800868988, 0.8637881875038147, 0.8947996497154236, 0.9336832165718079, 0.9525286555290222, 0.9556297659873962, 0.9508587718009949, 0.9518129825592041, 0.947519063949585, 0.9470419883728027, 0.9420324563980103, 0.9491889476776123, 0.9494274854660034, 0.9458492398262024, 0.9394084215164185, 0.9358301758766174]",0.1276118352743512,0.9556297659873962
