number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
9,0.8990147783251231,2023-04-09 23:25:50.025137,2023-04-09 23:26:42.743043,0 days 00:00:52.717906,116,69,3,0.22603786824744077,0.029997174104520147,3,0,3,367,296.0,309.0,Adam,COMPLETE
65,0.8987603305785123,2023-04-10 00:15:36.632816,2023-04-10 00:16:24.581493,0 days 00:00:47.948677,110,53,6,0.47941573441841295,0.0006832615523337892,2,0,2,229,318.0,,Adam,COMPLETE
31,0.8981366459627329,2023-04-09 23:46:47.641788,2023-04-09 23:47:39.223516,0 days 00:00:51.581728,105,18,4,0.18348901231522907,0.003946034898227852,2,0,2,200,326.0,,Adam,COMPLETE
105,0.8976897689768977,2023-04-10 00:49:36.098469,2023-04-10 00:50:30.090828,0 days 00:00:53.992359,101,43,4,0.10707501552426749,0.004821698958829946,2,0,2,342,383.0,,Adam,COMPLETE
21,0.8975903614457831,2023-04-09 23:37:07.074110,2023-04-09 23:38:03.163725,0 days 00:00:56.089615,83,77,15,0.16167457206953484,0.006217838372381532,1,2,2,94,184.0,,Adam,COMPLETE
14,0.8973737373737374,2023-04-09 23:30:20.217348,2023-04-09 23:31:10.236085,0 days 00:00:50.018737,99,85,7,0.11149472608866053,0.004674211416820598,1,1,1,210,,,Adam,COMPLETE
130,0.8971311475409836,2023-04-10 01:11:22.873317,2023-04-10 01:12:15.609726,0 days 00:00:52.736409,122,71,5,0.17023273233179192,0.0074792961324040225,2,0,2,304,393.0,,Adam,COMPLETE
46,0.8962148962148963,2023-04-09 23:59:15.556525,2023-04-10 00:00:02.322712,0 days 00:00:46.766187,117,28,3,0.16816146780622493,0.01645521976720076,2,0,2,295,283.0,,SGD,COMPLETE
36,0.896163469557965,2023-04-09 23:50:56.662687,2023-04-09 23:51:50.241350,0 days 00:00:53.578663,109,50,3,0.12057154477486365,0.0005696342406684738,3,1,1,309,,,Adam,COMPLETE
24,0.8950320512820513,2023-04-09 23:39:57.958057,2023-04-09 23:41:40.752532,0 days 00:01:42.794475,32,45,10,0.2546790895873416,0.0008557305546107391,2,2,3,173,138.0,129.0,Adam,COMPLETE
