number,value,datetime_start,datetime_complete,duration,params_batchsize,params_conv_filter_1,params_conv_filter_2,params_dropout_l,params_lr,params_n_layers_conv1,params_n_layers_conv2,params_n_layers_fc,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
111,0.9105590062111801,2023-04-10 00:54:54.097290,2023-04-10 00:55:47.141241,0 days 00:00:53.043951,115,72,4,0.17452308872981034,0.0009848057198302972,2,0,2,367,377.0,,Adam,COMPLETE
129,0.9105090311986864,2023-04-10 01:10:36.468603,2023-04-10 01:11:22.870411,0 days 00:00:46.401808,116,59,6,0.17836554455376893,0.0005469833188597467,2,0,2,320,374.0,,Adam,COMPLETE
97,0.9102459016393443,2023-04-10 00:42:57.983486,2023-04-10 00:43:51.985502,0 days 00:00:54.002016,122,58,16,0.10031618274446402,0.0030909757368569016,3,0,2,358,230.0,,Adam,COMPLETE
48,0.9100704517198508,2023-04-10 00:00:53.530599,2023-04-10 00:01:46.570936,0 days 00:00:53.040337,127,55,4,0.1256312105550306,0.0032538152730431074,3,0,2,385,301.0,,Adam,COMPLETE
13,0.91,2023-04-09 23:29:25.892577,2023-04-09 23:30:20.213387,0 days 00:00:54.320810,100,81,6,0.10467983337825221,0.006080903433820362,1,1,3,222,213.0,231.0,Adam,COMPLETE
102,0.9099173553719008,2023-04-10 00:47:04.709874,2023-04-10 00:47:57.292353,0 days 00:00:52.582479,110,60,3,0.11936352851678472,0.00038635297431989794,2,0,2,283,377.0,,Adam,COMPLETE
42,0.9098360655737705,2023-04-09 23:56:02.098934,2023-04-09 23:56:47.543262,0 days 00:00:45.444328,122,37,4,0.13919765206984022,0.001189925725554667,2,0,2,284,278.0,,Adam,COMPLETE
75,0.9095833333333333,2023-04-10 00:24:08.129739,2023-04-10 00:24:57.544730,0 days 00:00:49.414991,120,67,4,0.13377467729452436,0.0007477622611242396,2,0,2,229,389.0,,Adam,COMPLETE
27,0.9090909090909091,2023-04-09 23:43:22.473162,2023-04-09 23:44:15.235819,0 days 00:00:52.762657,99,50,6,0.19020588292251628,0.0014036038130736228,2,1,2,198,250.0,,Adam,COMPLETE
45,0.9085365853658537,2023-04-09 23:58:27.450453,2023-04-09 23:59:15.553931,0 days 00:00:48.103478,123,22,4,0.1415893497413615,0.007311011342437945,2,0,2,360,315.0,,Adam,COMPLETE
77,0.9082828282828282,2023-04-10 00:25:42.208183,2023-04-10 00:26:52.843404,0 days 00:01:10.635221,45,64,4,0.23929104796132245,0.00017522754582027005,2,0,2,246,381.0,,Adam,COMPLETE
82,0.9082719082719083,2023-04-10 00:30:22.038818,2023-04-10 00:31:09.697866,0 days 00:00:47.659048,111,48,3,0.19887978604095297,0.0002652199576796105,2,0,2,315,372.0,,Adam,COMPLETE
30,0.9081715210355987,2023-04-09 23:45:54.464658,2023-04-09 23:46:47.638181,0 days 00:00:53.173523,103,16,4,0.19236202077687228,0.003795185542924126,2,0,2,195,337.0,,Adam,COMPLETE
28,0.9081632653061225,2023-04-09 23:44:15.238304,2023-04-09 23:45:09.637271,0 days 00:00:54.398967,98,32,6,0.1988393658773124,0.002374424418064692,2,0,3,242,331.0,252.0,Adam,COMPLETE
70,0.9080459770114943,2023-04-10 00:19:45.853339,2023-04-10 00:20:42.457375,0 days 00:00:56.604036,84,53,5,0.13259962233755468,0.0009217246034232381,2,1,2,246,171.0,,Adam,COMPLETE
96,0.9079903147699758,2023-04-10 00:42:10.856209,2023-04-10 00:42:57.980634,0 days 00:00:47.124425,118,52,5,0.12236728069305772,0.0006227758257726218,2,0,2,366,388.0,,Adam,COMPLETE
