optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,32.0,0.001,No Regularization,0.0,0.0,0.0,0.6160000562667847,1.2829590439796448,0.8571999669075012,0.41975395605206106,212.09
Adam,64.0,0.001,No Regularization,0.0,0.0,0.0,0.5960000157356262,1.3004528433084488,0.8880999684333801,0.3303633393945208,108.064
Adam,32.0,0.001,L2,0.001,0.0,0.0,0.562000036239624,1.2144461274147034,0.5916000008583069,1.1370400100851212,249.002
Adam,32.0,0.001,L2,0.001,0.0,0.0,0.562000036239624,1.2144461274147034,0.5916000008583069,1.1370400100851212,249.002
Adam,128.0,0.001,No Regularization,0.0,0.0,0.0,0.5580000281333923,1.5063842236995697,0.9151999950408936,0.26212435866458506,83.235
Adam,256.0,0.001,No Regularization,0.0,0.0,0.0,0.5440000295639038,1.4875378608703613,0.8676999807357788,0.4201480746269226,83.641
Adam,64.0,0.001,L2,0.001,0.0,0.0,0.4700000286102295,1.5125243961811066,0.6611999869346619,0.9569045039498882,150.908
Adam,64.0,0.001,L2,0.001,0.0,0.0,0.4700000286102295,1.5125243961811066,0.6611999869346619,0.9569045039498882,150.908
Adam,128.0,0.001,L2,0.001,0.0,0.0,0.4360000193119049,2.0630282759666443,0.7249999642372131,0.7750301896771298,103.447
Adam,128.0,0.001,L2,0.001,0.0,0.0,0.4360000193119049,2.0630282759666443,0.7249999642372131,0.7750301896771298,103.447
Adam,128.0,0.001,L2,0.01,0.0,0.0,0.4320000112056732,1.5140149295330048,0.48649999499320984,1.4243382155140745,91.207
Adam,128.0,0.001,L2,0.01,0.0,0.0,0.4320000112056732,1.5140149295330048,0.48649999499320984,1.4243382155140745,91.207
Adam,32.0,0.001,Elastic,0.001,0.001,0.0,0.39000001549720764,1.6657446771860123,0.42239999771118164,1.5530888687688322,250.929
SGD,32.0,0.001,L2,0.01,0.0,0.0,0.3880000114440918,1.7222900390625,0.3610999882221222,1.7306141346788253,182.245
SGD,32.0,0.001,L2,0.01,0.0,0.0,0.3880000114440918,1.7222900390625,0.3610999882221222,1.7306141346788253,182.245
Adam,32.0,0.001,L1,0.0,0.001,0.0,0.3620000183582306,1.6645571142435074,0.42809998989105225,1.534876238042935,237.686
SGD,32.0,0.001,Elastic,0.01,0.001,0.0,0.35200002789497375,1.7567041516304016,0.37199997901916504,1.7243393560567983,256.71
SGD,32.0,0.001,No Regularization,0.0,0.0,0.0,0.35200002789497375,1.7786549851298332,0.3224000036716461,1.8339019130213192,164.867
SGD,32.0,0.001,L1,0.0,0.001,0.0,0.34800001978874207,1.7126808911561966,0.35109999775886536,1.7244594550361267,164.752
SGD,32.0,0.001,L2,0.001,0.0,0.0,0.3460000157356262,1.7536205723881721,0.35429999232292175,1.7758213098818503,195.425
SGD,32.0,0.001,L2,0.001,0.0,0.0,0.3460000157356262,1.7536205723881721,0.35429999232292175,1.7758213098818503,195.425
Adam,32.0,0.001,L2,0.01,0.0,0.0,0.3440000116825104,1.6696172803640366,0.34790000319480896,1.6744969447199909,243.275
Adam,32.0,0.001,L2,0.01,0.0,0.0,0.3440000116825104,1.6696172803640366,0.34790000319480896,1.6744969447199909,243.275
Adam,64.0,0.001,Elastic,0.001,0.001,0.0,0.34200000762939453,1.7364912629127502,0.44689998030662537,1.4951411834947623,144.154
SGD,64.0,0.001,L1,0.0,0.01,0.0,0.33800002932548523,1.8437597006559372,0.313400000333786,1.8584529024780176,105.227
SGD,32.0,0.001,Elastic,0.001,0.01,0.0,0.33800002932548523,1.9584240391850471,0.39089998602867126,1.6780653274097381,280.124
SGD,32.0,0.001,Elastic,0.001,0.001,0.0,0.3240000009536743,1.8126708418130875,0.3344999849796295,1.7827007926691074,223.069
Adam,256.0,0.001,L2,0.001,0.0,0.0,0.320000022649765,2.6299737691879272,0.7310000061988831,0.7604104518890381,65.809
Adam,256.0,0.001,L2,0.001,0.0,0.0,0.320000022649765,2.6299737691879272,0.7310000061988831,0.7604104518890381,65.809
SGD,64.0,0.001,Elastic,0.01,0.01,0.0,0.30800002813339233,1.8715576827526093,0.3190000057220459,1.8725027498925568,162.957
SGD,64.0,0.001,L2,0.001,0.0,0.0,0.30800002813339233,1.8878623247146606,0.3084000051021576,1.8335929752155473,123.546
SGD,64.0,0.001,L2,0.001,0.0,0.0,0.30800002813339233,1.8878623247146606,0.3084000051021576,1.8335929752155473,123.546
SGD,64.0,0.001,L2,0.01,0.0,0.0,0.30800002813339233,1.8935424536466599,0.2888000011444092,1.906600195890779,130.243
SGD,64.0,0.001,L2,0.01,0.0,0.0,0.30800002813339233,1.8935424536466599,0.2888000011444092,1.906600195890779,130.243
SGD,64.0,0.001,Elastic,0.001,0.01,0.0,0.3060000240802765,1.8611436784267426,0.31520000100135803,1.8361791212847278,141.373
SGD,32.0,0.001,Elastic,0.01,0.01,0.0,0.3020000159740448,2.1134336441755295,0.397599995136261,1.6229734405541953,246.534
SGD,64.0,0.001,Elastic,0.01,0.001,0.0,0.2900000214576721,1.8923330903053284,0.31290000677108765,1.8817215930124758,148.91
SGD,64.0,0.001,Elastic,0.001,0.001,0.0,0.28200000524520874,1.8662639558315277,0.29490000009536743,1.8796379057465085,154.151
SGD,64.0,0.001,No Regularization,0.0,0.0,0.0,0.2800000011920929,1.9430710077285767,0.2532999813556671,1.9861283947707742,104.379
SGD,32.0,0.001,L1,0.0,0.01,0.0,0.2800000011920929,2.1119769513607025,0.3822999894618988,1.6863023945317863,174.061
