lhl,optim,scheduler,epochs,best_epoch,train_losses,test_losses,train_accs,test_accs,train_loss,test_loss,train_acc,test_acc
5,SGD,MultiStepLR,4,1,"[1.2963336272239685, 0.46247188868522643, 0.3465300653934479, 0.31589382794102033]","[0.505587512627244, 0.22340407301313603, 0.19687839054192105, 0.18557387377278736]","[0.571066677570343, 0.8905500173568726, 0.9088500142097473, 0.9134666919708252]","[0.9154647588729858, 0.954026460647583, 0.9497195482254028, 0.9524238705635071]",0.2323295201400916,0.22340407301313603,0.9501833319664001,0.954026460647583
30,SGD,MultiStepLR,7,4,"[0.6900758783896764, 0.26295684047341344, 0.23553047572175662, 0.22541893740395705, 0.21066675996085008, 0.20825370965401332, 0.2055264401147763]","[0.2044677197909317, 0.13090017050182304, 0.1278132973761202, 0.11091277776853158, 0.10690219083932252, 0.11124172410479961, 0.11277506027358751]","[0.8102166652679443, 0.9281499981880188, 0.9327833652496338, 0.9350833296775818, 0.9392333626747131, 0.9390333294868469, 0.9402666687965393]","[0.9470152258872986, 0.9626402258872986, 0.9642428159713745, 0.9679487347602844, 0.9715545177459717, 0.9676482677459717, 0.9676482677459717]",0.11075014560421308,0.10690219083932252,0.9699500203132629,0.9715545177459717
60,SGD,MultiStepLR,8,7,"[0.6065059197624525, 0.2452011664956808, 0.22603220901886623, 0.2175494964018464, 0.20628558688759804, 0.20117902737408877, 0.2041009618456165, 0.14314442970802388]","[0.18552285389234432, 0.12430223253651117, 0.12216037468841442, 0.11591889537148511, 0.11011769766590963, 0.11812823108182503, 0.12258130140327968, 0.063146258685708]","[0.8282166719436646, 0.932533323764801, 0.9356499910354614, 0.935949981212616, 0.9402666687965393, 0.9426000118255615, 0.9411333203315735, 0.9616333246231079]","[0.950120210647583, 0.9660456776618958, 0.965745210647583, 0.9663461446762085, 0.9693509936332703, 0.9703525900840759, 0.9640424847602844, 0.9825721383094788]",0.06281456280748049,0.063146258685708,0.984416663646698,0.9825721383094788
