y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
9,1008,35,29,9,20,0.0287698412698412,0.3103448275862069,0.2571428571428571,1,top_third,20,test,relu
all,9984,174,284,47,237,0.0284455128205128,0.1654929577464788,0.27011494252873564,1,top_third,20,test,relu
0,979,5,5,1,4,0.0051072522982635,0.2,0.2,2,top_third,20,test,relu
1,1133,4,10,1,9,0.0088261253309797,0.1,0.25,2,top_third,20,test,relu
2,1030,25,63,7,56,0.0611650485436893,0.1111111111111111,0.28,2,top_third,20,test,relu
3,1008,12,25,5,20,0.0248015873015873,0.2,0.4166666666666667,2,top_third,20,test,relu
4,980,22,6,2,4,0.0061224489795918,0.3333333333333333,0.09090909090909091,2,top_third,20,test,relu
5,890,13,19,6,13,0.0213483146067415,0.3157894736842105,0.46153846153846156,2,top_third,20,test,relu
6,956,22,10,5,5,0.0104602510460251,0.5,0.22727272727272727,2,top_third,20,test,relu
7,1027,18,33,5,28,0.0321324245374878,0.1515151515151515,0.2777777777777778,2,top_third,20,test,relu
8,973,18,84,6,78,0.0863309352517985,0.0714285714285714,0.3333333333333333,2,top_third,20,test,relu
9,1008,35,29,9,20,0.0287698412698412,0.3103448275862069,0.2571428571428571,2,top_third,20,test,relu
all,9984,174,284,47,237,0.0284455128205128,0.1654929577464788,0.27011494252873564,2,top_third,20,test,relu
0,979,5,5,1,4,0.0051072522982635,0.2,0.2,3,top_third,20,test,relu
1,1133,4,10,1,9,0.0088261253309797,0.1,0.25,3,top_third,20,test,relu
2,1030,25,63,7,56,0.0611650485436893,0.1111111111111111,0.28,3,top_third,20,test,relu
3,1008,12,25,5,20,0.0248015873015873,0.2,0.4166666666666667,3,top_third,20,test,relu
4,980,22,6,2,4,0.0061224489795918,0.3333333333333333,0.09090909090909091,3,top_third,20,test,relu
5,890,13,19,6,13,0.0213483146067415,0.3157894736842105,0.46153846153846156,3,top_third,20,test,relu
6,956,22,10,5,5,0.0104602510460251,0.5,0.22727272727272727,3,top_third,20,test,relu
7,1027,18,33,5,28,0.0321324245374878,0.1515151515151515,0.2777777777777778,3,top_third,20,test,relu
8,973,18,84,6,78,0.0863309352517985,0.0714285714285714,0.3333333333333333,3,top_third,20,test,relu
9,1008,35,29,9,20,0.0287698412698412,0.3103448275862069,0.2571428571428571,3,top_third,20,test,relu
all,9984,174,284,47,237,0.0284455128205128,0.1654929577464788,0.27011494252873564,3,top_third,20,test,relu
1,1000,1000,521,0,521,0.521,1.0,0.0,0,top_third,20,evaluation,relu
all,1000,1000,521,0,521,0.521,1.0,0.0,0,top_third,20,evaluation,relu
1,1000,1000,521,0,521,0.521,1.0,0.0,1,top_third,20,evaluation,relu
all,1000,1000,521,0,521,0.521,1.0,0.0,1,top_third,20,evaluation,relu
1,1000,1000,521,0,521,0.521,1.0,0.0,2,top_third,20,evaluation,relu
all,1000,1000,521,0,521,0.521,1.0,0.0,2,top_third,20,evaluation,relu
1,1000,1000,521,0,521,0.521,1.0,0.0,3,top_third,20,evaluation,relu
all,1000,1000,521,0,521,0.521,1.0,0.0,3,top_third,20,evaluation,relu
