number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
27,0.5420000553131104,2023-04-08 23:53:53.348761,2023-04-08 23:53:58.348606,0 days 00:00:04.999845,0.027,0.029,32,0.2,0.01,SGD,PRUNED
26,0.5400000214576721,2023-04-08 23:53:47.346278,2023-04-08 23:53:53.347216,0 days 00:00:06.000938,0.068,0.049,32,0.30000000000000004,0.001,Adam,PRUNED
16,0.5240000486373901,2023-04-08 23:51:04.118514,2023-04-08 23:51:11.065739,0 days 00:00:06.947225,0.011,0.042,32,0.1,0.01,Adam,PRUNED
43,0.5240000486373901,2023-04-08 23:55:45.864642,2023-04-08 23:56:06.777233,0 days 00:00:20.912591,0.018000000000000002,0.024,64,0.4,0.01,SGD,COMPLETE
19,0.5200000405311584,2023-04-08 23:51:25.712942,2023-04-08 23:51:31.126072,0 days 00:00:05.413130,0.045,0.037,32,0.1,0.001,SGD,PRUNED
30,0.5020000338554382,2023-04-08 23:54:22.815752,2023-04-08 23:54:27.164410,0 days 00:00:04.348658,0.016,0.006,256,0.30000000000000004,0.01,SGD,PRUNED
14,0.492000013589859,2023-04-08 23:50:47.570129,2023-04-08 23:50:52.658234,0 days 00:00:05.088105,0.036000000000000004,0.0,32,0.1,0.001,SGD,PRUNED
17,0.4620000123977661,2023-04-08 23:51:11.067683,2023-04-08 23:51:18.825426,0 days 00:00:07.757743,0.0,0.015,32,0.2,0.001,SGD,PRUNED
38,0.45000001788139343,2023-04-08 23:55:20.731086,2023-04-08 23:55:24.716814,0 days 00:00:03.985728,0.006,0.022,128,0.4,0.01,Adam,PRUNED
2,0.4300000071525574,2023-04-08 23:46:43.161084,2023-04-08 23:47:12.663198,0 days 00:00:29.502114,0.052000000000000005,0.024,64,0.4,0.001,Adam,COMPLETE
25,0.4300000071525574,2023-04-08 23:53:43.608950,2023-04-08 23:53:47.344420,0 days 00:00:03.735470,0.016,0.021,256,0.4,0.01,SGD,PRUNED
37,0.4140000343322754,2023-04-08 23:55:11.332079,2023-04-08 23:55:20.729500,0 days 00:00:09.397421,0.025,0.042,64,0.0,0.001,SGD,PRUNED
9,0.3760000169277191,2023-04-08 23:49:27.483923,2023-04-08 23:49:31.532410,0 days 00:00:04.048487,0.012,0.074,64,0.0,0.001,SGD,PRUNED
39,0.31200000643730164,2023-04-08 23:55:24.724218,2023-04-08 23:55:30.601837,0 days 00:00:05.877619,0.061,0.034,64,0.30000000000000004,0.001,SGD,PRUNED
3,0.3060000240802765,2023-04-08 23:47:12.665900,2023-04-08 23:47:31.135042,0 days 00:00:18.469142,0.057,0.092,128,0.2,0.01,SGD,COMPLETE
11,0.23600001633167267,2023-04-08 23:49:37.990785,2023-04-08 23:49:41.462767,0 days 00:00:03.471982,0.018000000000000002,0.026000000000000002,128,0.2,0.001,SGD,PRUNED
10,0.22800001502037048,2023-04-08 23:49:31.534051,2023-04-08 23:49:37.989209,0 days 00:00:06.455158,0.098,0.002,32,0.30000000000000004,0.01,SGD,PRUNED
45,0.20800000429153442,2023-04-08 23:56:10.759677,2023-04-08 23:56:14.986252,0 days 00:00:04.226575,0.089,0.0,128,0.2,0.001,SGD,PRUNED
18,0.20000000298023224,2023-04-08 23:51:18.827108,2023-04-08 23:51:25.710775,0 days 00:00:06.883667,0.027,0.008,256,0.30000000000000004,0.01,Adam,PRUNED
5,0.20000000298023224,2023-04-08 23:47:57.431870,2023-04-08 23:48:22.515399,0 days 00:00:25.083529,0.055,0.038,64,0.0,0.001,Adam,COMPLETE
15,0.11600000411272049,2023-04-08 23:50:52.659884,2023-04-08 23:51:04.115980,0 days 00:00:11.456096,0.074,0.013000000000000001,32,0.30000000000000004,0.01,Adam,PRUNED
4,0.11400000751018524,2023-04-08 23:47:31.136966,2023-04-08 23:47:57.429829,0 days 00:00:26.292863,0.036000000000000004,0.09,64,0.4,0.01,SGD,COMPLETE
0,0.1120000034570694,2023-04-08 23:46:03.198190,2023-04-08 23:46:27.062960,0 days 00:00:23.864770,0.084,0.057,64,0.5,0.01,Adam,COMPLETE
40,0.09200000762939453,2023-04-08 23:55:30.604055,2023-04-08 23:55:37.216552,0 days 00:00:06.612497,0.033,0.056,32,0.5,0.01,Adam,PRUNED
