number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,state
33,0.5840000510215759,2023-04-09 00:30:00.505681,2023-04-09 00:30:14.034609,0 days 00:00:13.528928,0.063,0.048,128,0.2,0.001,Adam,1.0,0.0,,,PRUNED
30,0.5700000524520874,2023-04-09 00:29:18.463057,2023-04-09 00:29:44.836858,0 days 00:00:26.373801,0.093,0.053,32,0.2,0.001,SGD,1.0,0.0,,,COMPLETE
64,0.5680000185966492,2023-04-09 00:34:21.887077,2023-04-09 00:34:27.424392,0 days 00:00:05.537315,0.055,0.04,32,0.2,0.001,Adam,2.0,0.0,,,PRUNED
41,0.5520000457763672,2023-04-09 00:31:12.682818,2023-04-09 00:31:18.621741,0 days 00:00:05.938923,0.052000000000000005,0.044,64,0.2,0.001,Adam,1.0,0.0,,,PRUNED
36,0.550000011920929,2023-04-09 00:30:28.079763,2023-04-09 00:30:46.789018,0 days 00:00:18.709255,0.062,0.054,128,0.2,0.001,Adam,1.0,0.0,,,COMPLETE
69,0.5440000295639038,2023-04-09 00:34:43.885851,2023-04-09 00:34:50.856413,0 days 00:00:06.970562,0.076,0.033,256,0.2,0.01,SGD,2.0,0.0,,,PRUNED
21,0.5360000133514404,2023-04-09 00:27:04.728160,2023-04-09 00:27:31.182813,0 days 00:00:26.454653,0.073,0.003,32,0.2,0.001,SGD,1.0,0.0,,,COMPLETE
54,0.527999997138977,2023-04-09 00:33:12.295633,2023-04-09 00:33:15.446901,0 days 00:00:03.151268,0.023,0.065,256,0.2,0.01,SGD,2.0,0.0,,,PRUNED
8,0.5200000405311584,2023-04-09 00:24:46.221847,2023-04-09 00:25:05.238851,0 days 00:00:19.017004,0.054,0.05,128,0.30000000000000004,0.001,Adam,0.0,0.0,,,COMPLETE
3,0.5,2023-04-09 00:23:13.748775,2023-04-09 00:23:43.325854,0 days 00:00:29.577079,0.026000000000000002,0.065,64,0.30000000000000004,0.01,SGD,0.0,0.0,,,COMPLETE
13,0.48600003123283386,2023-04-09 00:26:06.130176,2023-04-09 00:26:09.810821,0 days 00:00:03.680645,0.06,0.026000000000000002,256,0.2,0.01,SGD,1.0,0.0,,,PRUNED
66,0.4820000231266022,2023-04-09 00:34:31.430450,2023-04-09 00:34:34.818517,0 days 00:00:03.388067,0.049,0.054,128,0.2,0.01,SGD,2.0,0.0,,,PRUNED
18,0.4740000367164612,2023-04-09 00:26:53.112853,2023-04-09 00:26:56.668770,0 days 00:00:03.555917,0.048,0.063,128,0.2,0.01,SGD,1.0,0.0,,,PRUNED
53,0.46000000834465027,2023-04-09 00:32:50.771635,2023-04-09 00:33:12.293823,0 days 00:00:21.522188,0.024,0.067,64,0.2,0.01,SGD,2.0,0.0,,,COMPLETE
71,0.4480000138282776,2023-04-09 00:35:09.518427,2023-04-09 00:35:13.966611,0 days 00:00:04.448184,0.023,0.042,64,0.2,0.01,SGD,2.0,0.0,,,PRUNED
25,0.44600000977516174,2023-04-09 00:27:48.193024,2023-04-09 00:27:56.326699,0 days 00:00:08.133675,0.043000000000000003,0.028,32,0.2,0.001,Adam,1.0,0.0,,,PRUNED
59,0.4440000355243683,2023-04-09 00:33:59.967465,2023-04-09 00:34:06.156374,0 days 00:00:06.188909,0.08600000000000001,0.08700000000000001,32,0.2,0.001,Adam,2.0,0.0,,,PRUNED
