number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
62,0.11000000685453415,2023-04-09 00:18:25.711744,2023-04-09 00:18:31.653050,0 days 00:00:05.941306,0.026000000000000002,0.041,32,0.1,0.01,Adam,PRUNED
56,0.11000000685453415,2023-04-09 00:17:30.426620,2023-04-09 00:17:35.009747,0 days 00:00:04.583127,0.074,0.094,64,0.4,0.01,Adam,PRUNED
24,0.11000000685453415,2023-04-09 00:13:09.641960,2023-04-09 00:13:14.259681,0 days 00:00:04.617721,0.095,0.098,64,0.2,0.01,Adam,PRUNED
85,0.10600000619888306,2023-04-09 00:21:20.297134,2023-04-09 00:21:27.383052,0 days 00:00:07.085918,0.098,0.014,32,0.30000000000000004,0.01,Adam,PRUNED
55,0.10600000619888306,2023-04-09 00:17:24.210684,2023-04-09 00:17:30.424323,0 days 00:00:06.213639,0.083,0.063,32,0.2,0.01,Adam,PRUNED
70,0.10000000149011612,2023-04-09 00:19:28.213207,2023-04-09 00:19:31.795143,0 days 00:00:03.581936,0.064,0.005,128,0.4,0.01,Adam,PRUNED
25,0.10000000149011612,2023-04-09 00:13:14.261524,2023-04-09 00:13:20.200953,0 days 00:00:05.939429,0.05,0.07,32,0.1,0.01,Adam,PRUNED
0,0.10000000149011612,2023-04-09 00:06:54.575734,2023-04-09 00:07:17.267275,0 days 00:00:22.691541,0.084,0.057,64,0.5,0.01,Adam,COMPLETE
82,0.08400000631809235,2023-04-09 00:21:00.879850,2023-04-09 00:21:06.499585,0 days 00:00:05.619735,0.095,0.003,32,0.4,0.01,Adam,PRUNED
50,0.08400000631809235,2023-04-09 00:16:42.728437,2023-04-09 00:16:46.170546,0 days 00:00:03.442109,0.085,0.06,128,0.30000000000000004,0.01,Adam,PRUNED
27,0.08400000631809235,2023-04-09 00:13:26.518150,2023-04-09 00:13:30.212066,0 days 00:00:03.693916,0.077,0.068,128,0.5,0.01,Adam,PRUNED
